"","title","type","score","scored_by","members","episodes","source","start_year"
"20503","Qihuan Wangguo","tv",NA,3,25,20,"original",NA
"20504","Tong Ge Wawa: Dou Hei Feng Guai","tv",NA,2,25,50,"original",NA
"20505","Shenqi Le Lutu","tv",NA,3,25,20,"original",NA
"20506","Da Zhonghua Xunbao Ji","tv",NA,3,25,52,NA,NA
"20507","Yuzhou Huwei Dui 3","tv",NA,3,25,26,"original",NA
"20508","Goog Ji Lixian Ji","tv",NA,3,25,52,"original",NA
"20509","Dongbei Meng Shou 2nd Season","ona",NA,4,25,12,"original",NA
"20510","Sanrio Pokoapoko Cinnamon no Genki ni Odekake","ova",NA,3,25,1,"original",2008
"20511","Sanrio Pokoapoko Cinnamon no Minna Tomodachi","ova",NA,3,25,1,"original",2009
"20512","Sanrio Pokoapoko Cinnamon no Ouchi de Challenge","ova",NA,3,25,1,"original",2009
"20513","Tou-san Maigo","ova",NA,5,25,6,"picture book",2001
"20514","Duel Masters Win","tv",NA,0,25,NA,"original",2022
"20515","Chao Xian Lie Bing-kai Neng","tv",NA,0,24,26,"original",NA
"20516","Kaixin Guo","movie",NA,4,24,1,"original",NA
"20517","Xiyou Man Ji","tv",NA,3,24,18,NA,NA
"20518","Renshen Wangguo","tv",NA,2,24,52,NA,NA
"20519","Bravo Dong Dong","tv",NA,1,24,52,"original",NA
"20520","Xin Datou Er Zi He Xiao Tou Baba 3: Eluosi Qiyu Ji","movie",NA,2,24,1,NA,2018
"20521","Xin Datou Er Zi He Xiao Tou Baba 2: Yi Ri Chengcai","movie",NA,2,24,1,NA,2016
"20522","Xin Datou Er Zi He Xiao Tou Baba: Nian De Weidao","special",NA,2,24,1,NA,2017
"20523","Xin Datou Er Zi He Xiao Tou Baba: Menghuan Leyuan Qiyu Ji","special",NA,2,24,1,NA,2017
"20524","Kaixin Jie","tv",NA,3,24,26,"original",NA
"20525","Xiao Hutu Shen","tv",NA,3,24,52,"original",NA
"20526","Haier Xiongdi Yuzhou Da Maoxian","tv",NA,2,24,54,"original",NA
"20527","Yueliang Jie","tv",NA,3,24,26,"original",NA
"20528","Xiao Song Dangjia","tv",NA,3,24,100,"original",NA
"20529","Dianji Xiaozi 2nd Season","tv",NA,2,24,26,"original",NA
"20530","Dianji Xiaozi 3rd Season","tv",NA,2,24,26,"original",NA
"20531","Jushen Zhan Ji Dui: Guidao Xianfeng","tv",NA,2,24,52,"original",NA
"20532","Shaolin Hai Bao","tv",NA,3,24,51,"original",NA
"20533","Mianhua Tang He Yunduo Mama: Meimeng Cheng Zhen","movie",NA,2,24,1,"original",2019
"20534","Mianhua Tang He Yunduo Mama: Chaoji Xiao Mihua","movie",NA,2,24,1,"original",2018
"20535","Guodong Baobei","tv",NA,2,24,20,"original",NA
"20536","Rubi Yoyo Jiaoyu Xilie: Kuaile Chengzhang","tv",NA,3,24,52,"original",NA
"20537","Xinling Zhi Chuang","tv",NA,1,24,26,"original",NA
"20538","Shaonian Shiye: Gongji Da Yu","tv",NA,2,24,26,"original",NA
"20539","Shaonian Shiye: Zhihui Si Lu","tv",NA,2,24,26,"original",NA
"20540","Dou Long Zhanshi","tv",NA,3,24,60,"novel",NA
"20541","Dou Long Zhanshi 2: Xing Long Sheng Yu","tv",NA,3,24,60,"original",NA
"20542","Dou Long Zhanshi 4: Shuanglong He","tv",NA,3,24,30,"original",NA
"20543","Dou Long Zhanshi: Xing Yin Luopan","movie",NA,2,24,1,"original",2016
"20544","Doby Disy: Ai Tanxian","tv",NA,2,24,52,"original",NA
"20545","Doby Disy: Ku Bi Xiao Zhentan","tv",NA,2,24,52,"original",NA
"20546","Doby Disy: Ai Changge","tv",NA,2,24,36,"original",NA
"20547","Pili Yongshi: Yuanqi Yongzhe","tv",NA,1,24,52,"original",NA
"20548","Wu Long Xiao Zi: Yong Chuang Le Huo Dao","tv",NA,0,24,26,"original",NA
